Token Value                     Token Type                    

read                            READ                          
x                               IDENTIFIER                    
;                               SEMI                          
if                              IF                            
x                               IDENTIFIER                    
<                               LT                            
0                               NUMBER                        
then                            THEN                          
x                               IDENTIFIER                    
:=                              ASSIGN                        
10                              NUMBER                        
end                             END                           
